name,age,income,zip,net_worth
Hiroko Miller,56,54194,31724,857394
Sheryl Schwab,30,109517,23944,104413
Kathy Lawson,19,39794,49785,171270
Dwayne Buss,56,23887,34618,304175
Zachariah Dunleavy,24,38277,82564,210600
Brandon Blanco,37,113923,48910,1127825
Michael Askew,61,81942,93287,571057
Frances Seiver,45,147707,29256,1533249
Louise Caton,54,83825,41318,132507
David Toth,24,45249,70658,74796
Janice Mccutcheon,30,67750,11251,384940
Patrick Wilson,46,24817,61910,125021
Ralph Magoon,61,45314,31724,815156
Lois Lee,58,45115,62919,208733
Robert Braden,38,50870,57129,299901
Sammie Bassett,33,80301,31643,660190
John Kee,42,38178,93287,387639
Alice Bauer,57,80101,61065,1038471
Lucas Mccary,22,54020,53351,353955
Mabel Snyder,56,111049,29256,970612
David Fergerson,45,57886,49890,632310
Pat Hickey,23,21263,57067,122694
Mercedes Haskell,28,51411,31724,137604
Maria Neff,42,135087,41318,805821
Sylvia Baines,27,41985,48154,220052
Willie Williamson,21,78749,41995,154193
Eleanor Head,47,32350,49785,175170
David Smith,36,31706,41318,277010
Mary Harris,36,94744,48154,358269
Debbie Hill,46,92187,34618,740551
Donna Kuhl,32,50349,62919,384562
Patricia Rival,46,70858,53351,507900
Dennis Tennant,54,53448,11251,253235
Maria Shyne,34,70447,33968,437224
Christopher Alvarez,41,25325,82564,201587
Patricia Strauss,46,57736,81722,85497
Alvin Jones,36,38675,53351,376894
Todd Laporte,37,61711,41995,358496
Marilyn Greer,59,263278,30175,2824905
Dolly Mcintyre,20,145815,49890,58800
Kenneth Kittler,21,92779,41318,224634
Arline Brawn,63,50729,11251,158888
Wanda Gibbs,65,20389,14100,172610
John Siegel,48,42063,93287,380664
Gerda Ek,58,77177,57129,335113
Theodore Nester,20,22829,48910,93290
Angela Wood,50,42030,52566,421159
Willie Reaver,46,143624,55803,1553280
Corrine Myers,29,44379,80728,353670
Joseph Ferrari,18,74796,70658,142540
Ethel Clark,20,62643,41995,297335
Eric Luallen,25,49401,31724,354801
Michael Garcia,22,74167,29579,243974
Lakeisha Saffell,34,63232,49890,403810
Rafael Marcos,61,51766,34618,443075
Brian Parkes,51,44469,48910,662295
Melanie Mehtani,65,160461,49785,3054465
Louis Elmore,47,70059,90214,969576
Michael Koop,65,50491,81722,150666
Alberto Spears,60,56766,81162,878189
Clarence Briggs,55,41501,90214,354759
Saul Jackson,27,132679,41995,684414
Joseph Smith,24,55219,89947,228069
Mark Wilson,21,101707,52566,216896
Kimberley Albert,39,123729,61910,1216970
Kathleen Kearney,26,37965,29256,51535
Tammy Breen,57,113016,29256,150595
James Bradford,54,103734,55803,464226
Donnette Vandenheuvel,22,50973,31724,167459
Cynthia Vaught,65,48413,33968,90146
Margaret Merritt,38,74098,29579,438508
Jeanne Kozak,36,158306,89947,617879
Robert Perry,48,42905,29256,448778
Charles Mcconnell,19,155405,40064,554807
Willie Dedrick,48,29472,30175,515843
Tom Perry,49,30249,57067,10516
Joseph Maher,19,68140,57067,343080
Mark Windsor,35,122394,61910,134981
Doris Cluff,40,39975,82564,289746
Clarence Anderson,37,101015,57129,722776
Jessica Purcell,25,34350,34618,134735
Delores Ferguson,59,49029,29256,166334
Jeffrey Morales,62,24868,70658,7858
Brenda Gregory,22,65250,82564,185198
Tara Dearborn,22,36770,59686,169523
Rene Rigsby,39,45415,90214,328275
Keith Barbour,33,58522,61910,548001
Duane Butler,41,65453,81162,53876
Herbert Stafford,23,181610,55803,609021
Randal Castillo,28,16011,53351,75423
Francene Panek,34,62742,53351,66469
Melissa Richard,50,53168,31643,487647
John Allen,36,119531,31643,345642
Alyce Jones,25,83433,62919,529514
Charles Green,36,45007,29256,187448
John Schontz,64,25757,33968,60485
Thomas Mills,43,76008,41995,364481
Kenneth Barron,18,79641,11251,294667
Tara Wedekind,47,86025,41318,1475880
Francisco Robichaud,40,95659,57067,357953
Joseph Foster,18,95288,34618,224687
Elvera Malady,35,48725,14100,228506
Charles Sack,44,100779,41318,1066638
Judith Rall,45,31938,59686,125163
Tricia Mosley,59,208030,30175,1653566
Mario Baron,31,63068,11251,343479
Susan Casto,25,39614,59686,167839
Mark Rowe,29,64684,49890,513096
Walter Hotchkiss,41,30457,72096,194617
James Strief,64,63937,61910,1007859
Roger Moore,32,79674,48910,602375
Reyes Lamontagne,60,45022,49890,125702
Sabrina Zalenski,50,71424,49785,604725
Denise Olson,29,26513,49785,178439
Amy James,45,77187,30175,40506
Marie Pardini,64,75246,34618,1269774
Barbara Sullivan,56,20605,53351,298649
Alison Richardson,46,76609,70658,569027
Jose Trevino,28,48330,31724,195150
Mary Trujillo,25,100104,82564,369519
Cynthia Harper,52,63861,34618,801556
Yvette Sause,53,53223,41318,649942
Effie Paige,32,62632,49890,279985
Bradley Breen,37,53458,30175,39211
Donald Hendrix,36,63682,40445,202155
Aaron Tartaglione,58,50313,93287,583757
Dorothy Newman,27,81489,31724,391292
Peter Gist,37,82495,90214,319391
Howard Lopez,22,76439,80728,132365
Taylor Brumaghim,23,29697,31643,222130
Velia Casey,30,49367,52566,4842
Luciana Pate,52,81259,31643,696642
John Elder,51,59961,30175,570179
Roni Swaim,29,33547,89947,262865
Duane Harper,49,103828,34618,1059935
Mark Garcia,35,91563,29256,63153
Perla Clifton,62,34231,90214,211129
Mark Graham,20,52689,93287,179621
Lawrence Brown,61,111888,23944,270899
John Stancil,28,60337,40445,475917
Sandra King,65,48264,34618,861743
Helen Daniel,20,34890,59686,20993
Marcelo Scott,30,95013,40064,781510
Roland Karnes,27,35258,55803,163989
Ramona West,57,14902,40445,5636
Patsy Jones,54,41510,61065,612257
Alton Sparks,26,97562,11251,366038
Stanley Longmore,32,47415,49890,468354
David Heck,53,66139,29579,693775
Karrie Smith,50,53556,59686,151506
Audrey Church,65,47044,93287,147159
Kayla Timms,54,49669,72096,746460
Michael Koenig,35,31621,90214,61673
Chris Mckinney,49,51617,29256,496693
Ramon Parkin,27,37678,11251,56078
Karen Cooke,36,76786,48154,285984
Michael Bjorkman,41,98731,48154,1040522
Heidi Mccloskey,24,32037,29256,228464
William Saum,30,32770,30175,58613
Jorge Murach,52,62403,49785,880984
Robert Black,20,62450,92366,205848
Beatriz Thomas,61,67075,31724,28517
Keith Hatchett,57,54616,31643,785002
Aaron Mckillip,64,53991,33968,234301
Michael Nelson,30,235282,48910,18662
Daniel Sermersheim,28,73780,89947,614071
Mattie Hack,65,44898,80728,858576
Barbara Honaker,64,73621,30175,438992
Samira Hendricks,31,25674,41995,118273
Yolanda Packard,43,79448,52566,838410
Pearl Ortiz,56,71505,30175,1010572
Roy Moreau,48,140819,41318,1118092
Carolyn Mcwhorter,29,51291,40064,149707
Jeffrey Early,54,51629,34618,372615
Betty Haffling,28,78689,40064,220709
Michael Embree,19,87766,89947,275717
Robert Gall,19,49713,79775,283504
Deana Wallace,65,99559,40064,900982
Robert Blackford,39,143889,29579,1006521
Florence Walls,29,55231,48910,181835
Vance Underwood,57,89293,33968,327884
Cesar Breton,40,76524,55803,638082
Nathan Bosma,44,46037,89947,430982
Melanie Riebau,51,39490,81722,91419
David Wilson,52,73117,23944,335994
Wilbert Pears,18,68584,80728,238496
Thomas Valeri,61,34247,40064,175860
Gilda Bates,28,61723,92366,458760
Michael Bell,21,58088,48910,339005
Michael Davis,34,59420,85486,541585
Janet Evans,53,60052,85486,741579
Sabrina Jenkins,45,102002,62919,695568
Carol Ayala,47,66732,33968,184552
Edna Ennenga,22,100058,40445,42150
Shirl Wise,36,60088,59686,281261
Daniel Chaput,50,86322,90214,1140947
Charla Spangler,25,28797,29579,164973
Virginia Owens,23,61423,48154,417901
Taylor Roberts,64,86351,14100,653002
Deloris Northrop,55,86762,57067,589978
Russell Brester,55,39731,93287,669369
Catherine Rodriquez,50,45592,82564,520196
Jose Coggan,59,23741,30175,145436
Blake Mather,35,59904,31724,53228
Julie Hillegas,46,22325,93287,174761
Timothy Ramsey,38,47788,41995,73258
Louise Stevenson,42,34083,57067,338341
Michael Walls,28,68359,41318,298179
Dwayne Parker,34,65190,49890,646389
Jack Gibson,33,28570,23944,246982
Lisa Ramos,22,96036,93287,90110
Neal Curtis,56,102569,59686,840818
Donnell Horton,20,53720,31724,171217
Anne Ellis,19,80592,23944,22362
Pamala Larsen,32,33006,92366,71588
Harrison Rogers,53,57084,90214,100521
Steve Espinoza,61,60033,29256,296579
Tiffany Martin,23,44226,14100,130876
Melba Gasper,20,32187,81162,159712
Wanda Ash,56,24404,72096,59484
Jimmie Angles,61,64381,14100,293592
Lupe Klein,61,43132,72096,422829
Phillip Bobo,33,56380,59686,415403
Savannah Strickland,29,38687,70658,155817
Jeanette Sapp,22,17042,29256,86470
Gerald Bennett,19,212481,81162,915651
Ruben Webb,19,69695,31643,33505
John Willis,31,68034,90214,243711
Linda Reitan,31,62601,49785,97666
Kristi Maloney,61,51562,57129,930094
Mary Moran,49,21419,41995,44304
Lawrence Rodriguez,54,26074,79775,27257
Frances Anderson,21,52053,55803,160734
John Goldhirsh,61,152536,61910,2147339
Carol Shorter,19,65800,29256,147605
Betty Matheis,48,68295,23944,482784
Vaughn Knudtson,62,58376,79775,942792
John Atkison,62,105827,79775,1335750
Arthur Helmick,51,51806,61910,489402
Ruth Labarge,37,21778,55803,48258
Charles Cockrell,47,78422,29256,213928
Cindy Lara,58,67427,59686,242842
Frederick Nagy,53,39712,52566,507825
Arnold Martinez,51,80689,92366,976430
Hector Coffey,60,57350,49890,885942
Micheal Barnett,54,79108,81722,331222
Raul Lowe,42,42580,81722,423585
Tony Billiter,36,63095,49785,481715
Dawn Tibbs,45,61719,61910,58768
Mary Fritz,53,75148,61910,744625
Robin Rollins,18,44757,93287,61726
Chas Collins,21,60143,59686,134573
Marsha Waterhouse,60,144935,61910,521843
Charles Edwards,63,59502,92366,679432
John Mullins,57,45414,48154,414433
Randy Hanson,65,142826,82564,695422
Edward Cardwell,24,102316,81722,191914
Arthur Mayo,36,53980,49785,542489
Lisa Croy,25,20546,81162,21676
Sally Walker,27,40733,29256,94891
Tyler Tillman,40,53883,33968,598742
Alberto Faler,27,52066,33968,234079
Phyllis Blosser,30,72864,89947,580493
Noah Duncan,43,56873,80728,725225
Katherine Mccully,53,24728,11251,32915
Irvin Cates,26,47367,23944,43842
Jerry Coleman,45,35991,49785,131668
Jeremy Bateman,18,67795,52566,24559
Arthur Gray,22,36616,48910,80619
Branden Trejo,19,139927,92366,40403
William Dressler,39,62290,82564,112405
Brenda Abrams,29,43634,61910,82103
Bert Dusenbery,22,68716,57067,278456
Dorothy Basso,62,38746,79775,377804
Josephine Nord,60,49387,79775,603880
Rosa Hanson,44,275743,57129,1460756
Amy Bryant,65,27076,40445,456979
Brad Smith,29,119609,72096,283120
Melisa Royce,29,177268,29256,1203182
Frank Ricketts,55,29578,48154,325372
Elizabeth Thomure,60,57971,40445,711256
Reba Bledsoe,54,53646,31643,386412
Candy Hansen,28,65075,60059,401189
Mary Carthen,43,83254,48910,220990
Ryan Posas,53,58539,41318,111500
John Butler,36,27715,40064,59047
Larry Downing,53,45151,93287,279458
Richard Oates,42,58485,89947,143406
Holly Morin,61,143986,29579,1340644
Brent Kelley,31,39177,41318,81483
Benjamin James,21,80076,82564,251327
April Sapp,47,128841,82564,1458733
Patricia Sutton,33,199241,40064,91370
Nola Spotts,42,59124,57067,529046
Frances Wenner,19,115482,57129,224783
Jose Williams,53,80114,80728,442462
Mary Blakes,54,50362,29579,250227
James Taylor,33,76843,48154,104066
Rose Stringham,28,65874,92366,9520
Wendy Mccabe,29,51513,81722,337582
Brant Wilcox,54,39598,57067,361243
Desiree Minor,60,74704,59686,1081239
Regina Bouie,48,94612,59686,983551
Larry Patterson,50,35190,29579,387932
Sallie Denham,51,20143,57067,253752
James Cantu,65,60828,72096,192764
Tracey Todd,24,89595,55803,188672
Robert Coffey,42,102691,79775,1068097
Kimberly Ledesma,48,81988,33968,940555
Mary Swain,22,91876,29579,284794
Jess Davis,50,48578,11251,505487
Philip Maddocks,38,73112,60059,1170551
Allen Howe,21,51250,41995,293218
Patrick Jordan,48,52682,29256,270437
Deborah Felton,60,73419,52566,626859
Joel Fleetwood,63,29256,40445,100690
David Pantoja,58,26343,11251,332182
Doris Stone,43,54257,11251,57356
Barbara Nguyen,30,45420,57067,309228
Frank Bassett,31,42940,52566,374924
Anne Greene,50,45145,52566,557323
Deidra Seltzer,30,162421,23944,581971
Elizabeth Briseno,51,19845,48154,21799
Richard Woosley,53,30424,60059,178566
Tamisha Baum,43,48119,85486,356996
Roger Nedd,64,58641,30175,121358
Barbara Little,59,96200,49890,1237780
Allison Bakshi,36,98444,89947,177911
Gloria Talley,24,89164,82564,618604
Deborah Callahan,19,83963,30175,153933
Oliver Masterson,60,129509,79775,815618
Gregory Rosenthal,54,39758,40064,432923
James Frank,32,33039,33968,87465
Susan Janick,27,103348,81162,105671
Gustavo Mccosker,21,198336,40445,309663
Rebecca Matlock,58,90610,31724,1477212
Evangeline Philips,46,68614,31724,724298
Jack Austin,41,149541,82564,854961
Virgie Cleary,25,78048,29256,406005
Susana Russell,59,99760,40064,894198
Doris Wise,24,136761,81162,842546
Virgil Stern,56,42411,31643,523432
Lisa Beck,21,67355,41318,89490
Earl Furst,64,162348,41995,1403002
Michael Vanbrunt,19,39043,48154,198136
Jose Gaietto,63,65813,34618,28772
Darren Browder,38,100099,40445,891977
Margaret Weathersby,48,77957,49890,625653
Valorie Marcus,56,40859,23944,684384
Naomi Jennings,55,49598,61910,523685
Ronald Blom,27,45573,70658,19872
Charles Johnson,28,38671,52566,247962
Tyrone Jennings,20,78000,41318,419264
Grant Fishburn,30,113195,49890,600325
Connie Borrero,26,67534,62919,417830
Michelle Hall,51,118573,55803,1467137
Winona Salais,42,71068,59686,445733
Teena Madison,36,69735,49890,306550
David Murphy,30,33426,90214,253685
Glenn Douglass,36,39336,33968,196609
Amy Kleeb,52,24719,29256,363716
Cedric Royal,50,101107,34618,975590
Martha Sanchez,48,80221,11251,546178
Sara Bozeman,27,64123,79775,492359
Tina Higgins,22,42919,40064,129526
Cheryl Tran,58,130663,41318,697751
